id,siteLocationId,productId,quantityUpperThreshold,quantityLowerThreshold
LOC-WARE-003_PROD001,LOC-WARE-003,PROD001,1000,100
LOC-WARE-004_PROD001,LOC-WARE-004,PROD001,1000,100
LOC-WARE-003_PROD002,LOC-WARE-003,PROD002,900,50
LOC-WARE-004_PROD002,LOC-WARE-004,PROD002,900,50
LOC-WARE-003_PROD003,LOC-WARE-003,PROD003,750,50
LOC-WARE-004_PROD003,LOC-WARE-004,PROD003,750,50
LOC-WARE-003_PROD004,LOC-WARE-003,PROD004,1000,75
LOC-WARE-004_PROD004,LOC-WARE-004,PROD004,1000,75
LOC-WARE-003_PROD005,LOC-WARE-003,PROD005,2000,150
LOC-WARE-004_PROD005,LOC-WARE-004,PROD005,2000,150
LOC-WARE-003_PROD006,LOC-WARE-003,PROD006,800,25
LOC-WARE-004_PROD006,LOC-WARE-004,PROD006,800,25
LOC-WARE-003_PROD007,LOC-WARE-003,PROD007,1000,50
LOC-WARE-004_PROD007,LOC-WARE-004,PROD007,1000,50
LOC-WARE-003_PROD008,LOC-WARE-003,PROD008,1000,100
LOC-WARE-004_PROD008,LOC-WARE-004,PROD008,1000,100
LOC-WARE-003_PROD009,LOC-WARE-003,PROD009,500,25
LOC-WARE-004_PROD009,LOC-WARE-004,PROD009,500,25
LOC-PLANT-001_PART001,LOC-PLANT-001,PART001,10000,500
LOC-PLANT-002_PART001,LOC-PLANT-002,PART001,10000,500
LOC-PLANT-001_PART002,LOC-PLANT-001,PART002,20000,1000
LOC-PLANT-002_PART002,LOC-PLANT-002,PART002,20000,1000
LOC-PLANT-001_PART003,LOC-PLANT-001,PART003,15000,700
LOC-PLANT-002_PART003,LOC-PLANT-002,PART003,15000,700
LOC-PLANT-001_PART003-1,LOC-PLANT-001,PART003-1,10000,1000
LOC-PLANT-002_PART003-1,LOC-PLANT-002,PART003-1,10000,1000
LOC-PLANT-001_PART003-2,LOC-PLANT-001,PART003-2,10000,800
LOC-PLANT-002_PART003-2,LOC-PLANT-002,PART003-2,10000,800
LOC-PLANT-001_PART003-3,LOC-PLANT-001,PART003-3,10000,500
LOC-PLANT-002_PART003-3,LOC-PLANT-002,PART003-3,10000,500
LOC-PLANT-001_PART004,LOC-PLANT-001,PART004,12000,200
LOC-PLANT-002_PART004,LOC-PLANT-002,PART004,12000,200
LOC-PLANT-001_PART005,LOC-PLANT-001,PART005,15000,800
LOC-PLANT-002_PART005,LOC-PLANT-002,PART005,15000,800
LOC-PLANT-001_PART006,LOC-PLANT-001,PART006,10000,750
LOC-PLANT-002_PART006,LOC-PLANT-002,PART006,10000,750
