ID,Name,Type,Status,Street,City,stateProvince,Country,postalCode,Coordinates
LOC-PLANT-001,China Plant,Plant,Active,Zhenggang 4th St,Zhengzhou,Henan,CHN,,"34.752687, 113.689948"
LOC-PLANT-002,India Plant,Plant,Active,"Plot No: A-1, Sipcot Industrial Park",Sriperumbudur,Tamil Nadu,IND,602105,"12.950073, 79.930277"
LOC-WARE-003,US Warehouse WEST,Warehouse,Active,,San Francisco,CA,USA,,"37.465056, -122.265939"
LOC-WARE-004,US Warehouse EAST,Warehouse,Active,,New York,NY,USA,,"40.687778, -74.207676"
LOC-CUST-1,LOC-CUST-1,Customer,Active,7601 Penn Ave S.,Richfield,MN,USA,55423,"44.877741, -93.280933"
LOC-CUST-2,LOC-CUST-2,Customer,Active,500 Staples Dr,Framingham,MA,USA,01702,"42.314061, -71.435539"
LOC-CUST-3,LOC-CUST-3,Customer,Active,410 Terry Ave N,Seattle,WA,USA,98109,"47.616646, -122.302932"
LOC-CUST-4,LOC-CUST-4,Customer,Active,208 S Akard St,Dallas,TX,USA,75201,"32.790575, -96.766579"
LOC-CUST-5,LOC-CUST-5,Customer,Active,,Chiyoda City,Tokyo,JPN,,"35.721696, 139.652969"
LOC-CUST-6,LOC-CUST-6,Customer,Active,Friedrich-Ebert-Allee 140,Bonn,,DEU,53113,"50.729641, 7.097385"
LOC-CUST-7,LOC-CUST-7,Customer,Active,"Ronda de la Comunicación, s/n",Madrid,,ESP,28050,"40.429507, -3.811380"
LOC-CUST-8,LOC-CUST-8,Customer,Active,,Mexico City,,MEX,,"19.444646, -99.180117"
LOC-CUST-9,LOC-CUST-9,Customer,Active,Rua Humberto de Campos 425,Rio de Janeiro,Rio de Janeiro,BRA,20000-000,"-22.873585, -43.352607"
LOC-CUST-10,LOC-CUST-10,Customer,Active,216 14th Avenue,Fairland,Gauteng,ZAF,2195,"-26.138404, 27.938874"
LOC-CUST-11,LOC-CUST-11,Customer,Active,31 Jinrong Street,Beijing,,CHN,100033,"39.853204, 116.360350"
LOC-CUST-12,LOC-CUST-12,Customer,Active,21 Jin Rong Jie Gong Yu G Zuo,Beijing,,CHN,,"39.853204, 116.360350"
LOC-CUST-13,LOC-CUST-13,Customer,Active,"2 Guangningbo St, Jin Rong Jie, Xicheng Qu",Beijing,,CHN,,"39.853204, 116.360350"
LOC-SUPL-1,LOC-SUPL-1,Supplier,Active,,Niigata,Yamanashi ,JPN,,"35.613431, 138.543052"
LOC-SUPL-2,LOC-SUPL-2,Supplier,Active,,Shanghai,Shanghai ,CHN,,"31.210832, 121.539203"
LOC-SUPL-3,LOC-SUPL-3,Supplier,Active,,,Chungcheongbuk-Do,KOR,,"36.58869, 127.921454"
LOC-SUPL-4,LOC-SUPL-4,Supplier,Active,,,Penang,MYS,,"5.414081, 100.311749"
LOC-SUPL-5,LOC-SUPL-5,Supplier,Active,,,Laguna,PHL,,"14.117562, 121.346875"
LOC-SUPL-6,LOC-SUPL-6,Supplier,Active,,,Drenthe,NLD,,"52.874492, 6.589781"
LOC-SUPL-7,LOC-SUPL-7,Supplier,Active,,,Baja California,MEX,,"31.114562, -115.917776"
LOC-SUPL-8,LOC-SUPL-8,Supplier,Active,,,TX,USA,,"32.808467, -96.730187"
LOC-SUPL-9,LOC-SUPL-9,Supplier,Active,,,MA,USA,,"41.94840, -71.27039"
LOC-SUPL-10,LOC-SUPL-10,Supplier,Active,,,Guangdong,CHN,,"23.052284, 113.972359"
