id,siteLocationId,ProductId,Quantity,quantityUom,expirationDate
f48b60d8-3798-408d-9dff-c503b7aabd28,LOC-WARE-004,PROD007,470,Each,
0caca359-3d5e-4793-b127-29ba27a7adb1,LOC-WARE-004,PROD009,220,Each,
c6668e2c-824e-4689-b714-898fcca8482b,LOC-WARE-003,PART003-2,60,Each,
a3c7d6c2-e6e2-44ca-9b3a-7123fe9129d4,LOC-WARE-003,PART002,400,Each,
ab0a1abc-18c4-4c6d-a3f8-43bf1da87c7e,LOC-WARE-004,PROD006,200,Each,
7b2fa69f-b486-4e27-9e75-9a26a4f9cd43,LOC-WARE-003,PART002,60,Each,
21d16549-9134-4125-9781-e8096ff6c2c6,LOC-WARE-004,PART003,280,Each,
f9b90ed7-8674-4602-9678-514357a02b88,LOC-WARE-003,PROD002,220,Each,
693c00b1-d685-4b0c-8642-dd797cfc5b96,LOC-WARE-003,PROD002,140,Each,
2a0a897f-1af0-4bb7-9ace-df794144da2e,LOC-WARE-003,PART003-3,290,Each,
70f1af54-8c88-4a38-af8c-d334228bc1d3,LOC-WARE-004,PROD006,420,Each,
69aa0c7b-5173-41ac-89aa-866a9cc73167,LOC-WARE-004,PART003-1,110,Each,
ca1c8da8-d57d-4b22-aee7-93e68e6ebb49,LOC-WARE-003,PART003-1,250,Each,
f5acdf45-5d47-4212-832d-c950d01bb8e2,LOC-WARE-003,PART005,410,Each,
0019eedc-a77b-46ba-9405-5b452434aedd,LOC-WARE-004,PROD006,200,Each,
e0c1f84b-828b-4dfc-b0ce-4083b1987b4e,LOC-WARE-004,PROD009,190,Each,
652ad5b3-a096-4d03-a4c0-ef06229bffed,LOC-WARE-004,PART003-3,480,Each,
dcb884e3-0318-49f2-9dbc-e4c831a83e14,LOC-WARE-004,PROD004,490,Each,
7af4f310-0aae-4203-acce-ad6d18c23b49,LOC-WARE-004,PROD001,470,Each,
12590f28-8f14-4b32-baf5-340f5cc55f0e,LOC-WARE-004,PART003-1,370,Each,
031c17bb-dc37-4dfa-a681-7acd1b97f232,LOC-WARE-004,PART004,120,Each,
85504d5f-c588-423d-8941-1a941dd1c467,LOC-WARE-004,PROD009,280,Each,
dcc4d6e8-9e6b-42ca-acea-6af2da41201a,LOC-WARE-004,PROD006,380,Each,
50099a73-5665-49a0-82bf-fe1c86b97922,LOC-WARE-004,PROD004,250,Each,
6eb67543-45dc-41b6-a0e7-3d276f2bcb5d,LOC-WARE-003,PROD006,380,Each,
14c74c2f-f937-45dc-bf2f-a4da9337c3c9,LOC-WARE-004,PART003-2,110,Each,
d7c00115-e012-407c-b46d-71846a1e6d4f,LOC-WARE-004,PART002,450,Each,
004114a8-9707-4d51-92b7-b9bb6a6b0e70,LOC-WARE-004,PROD003,470,Each,
164fa50b-9102-4625-85ad-796a5bec2874,LOC-WARE-003,PART003,270,Each,
879538ab-b829-41ea-8db0-9f8f27e7d242,LOC-WARE-003,PART005,130,Each,
77811a58-6862-44a9-82ab-5fa2285407a7,LOC-WARE-004,PART003,80,Each,
e150d152-fa8c-418f-8a68-5cd7824e66d2,LOC-WARE-003,PROD002,370,Each,
7052ed78-0f24-4c18-b1be-60375910643e,LOC-WARE-003,PROD007,300,Each,
aefcadda-3162-45dd-9a03-a9158dc486ba,LOC-WARE-003,PROD006,340,Each,
205de57d-4dac-451d-aead-9f36ecdac4b1,LOC-WARE-003,PART003-1,50,Each,
b5449c69-6620-438e-87a4-7f57f235562d,LOC-WARE-004,PART003-3,240,Each,
c871f3e2-0668-44c7-902e-f42dead9c25d,LOC-WARE-004,PART006,480,Each,
851d410a-9fa8-41f4-a33f-c0b28f1b2275,LOC-WARE-004,PROD004,70,Each,
bd4f13d7-203d-46d0-823f-ce148fbba5ff,LOC-WARE-003,PART003-1,440,Each,
cc7f28f8-a42f-4075-8878-c54a0280f175,LOC-WARE-004,PROD002,310,Each,
eaffab56-579c-4f13-a9a3-b6a38aee9c3a,LOC-WARE-004,PART003-1,140,Each,
fc22a3b8-592e-4559-8fd6-e833dc6adb9b,LOC-WARE-004,PROD009,120,Each,
38f8fada-529f-4463-a0be-548d8743a9a6,LOC-WARE-004,PROD003,260,Each,
dca058b1-90e2-45b0-80b7-18092921e293,LOC-WARE-004,PROD008,170,Each,
94520ec0-6ce9-45b3-92b9-5a15b2d9f52d,LOC-WARE-004,PROD008,200,Each,
5dadab37-d415-416c-84ac-a3be8d84ebb0,LOC-WARE-004,PART004,150,Each,
79f08851-19f0-4c13-bbff-cbd1344df62a,LOC-WARE-003,PART003-3,450,Each,
80ce4df3-e07c-45da-953e-48a0b628478b,LOC-WARE-003,PROD001,140,Each,
1057dd74-a798-480c-9858-b7d987d91f5e,LOC-WARE-003,PART006,250,Each,
fd78c99d-baaa-419b-bd96-3286ba065d05,LOC-WARE-004,PART003-2,330,Each,
ab9c9fc1-8587-4301-9658-f950d7f26672,LOC-WARE-003,PROD004,390,Each,
629cf968-f8b0-45de-bdd1-e9fc84614645,LOC-WARE-003,PROD001,110,Each,
ce75e82c-f67e-4675-943a-84d509e72033,LOC-WARE-003,PROD006,470,Each,
94d83c39-1c10-4ae6-b668-a3900b8177c3,LOC-WARE-004,PROD003,300,Each,
88802946-b2a1-4e3e-bea1-ce678ade1646,LOC-WARE-003,PART003,80,Each,
770f5648-6b8c-4f81-b77c-40dc7a1eec83,LOC-WARE-004,PROD001,490,Each,
ee87655e-1585-4cc3-8d9a-51918961d90e,LOC-WARE-003,PART003-2,90,Each,
5177e3d5-acce-4bed-9439-9ec802fd0bd5,LOC-WARE-003,PART006,300,Each,
6b1d4239-0b7d-46b9-8fa7-512422f1fcea,LOC-WARE-004,PROD001,300,Each,
ce3c86b4-bbd1-4751-a920-83a0ed90d341,LOC-WARE-004,PART003-1,230,Each,
da5578de-a43c-44ea-b765-ee81afe98b32,LOC-WARE-004,PROD004,500,Each,
f6d50828-4e45-43eb-b1a5-f61c32745d2c,LOC-WARE-004,PROD003,270,Each,
9e91ff44-e6ce-4d55-aae5-1f623ec67e51,LOC-WARE-003,PROD003,140,Each,
dbc69d49-efb4-4cdd-b32a-c5e5062b1d9f,LOC-WARE-003,PROD001,300,Each,
f5f82138-4791-457d-806e-78c76d83c43d,LOC-WARE-004,PART006,400,Each,
566f38a0-2be7-48be-9838-d4d99e99d503,LOC-WARE-004,PART005,430,Each,
a0034bc2-af16-4a7e-95b7-ceb896b4e845,LOC-WARE-004,PROD001,180,Each,
ceee9b9c-fa73-444a-bda3-f45579fde1dd,LOC-WARE-004,PART003-3,70,Each,
faa49160-ff74-4c85-b158-ace8e44c0760,LOC-WARE-004,PROD002,110,Each,
ad6bfcf5-df6e-4ca7-b4f6-d96564d37da4,LOC-WARE-004,PROD004,90,Each,
8909b2c3-c37d-483e-93f0-70ec487739af,LOC-WARE-004,PROD005,380,Each,
3a0f1bc2-1c9c-41e5-ac49-c64f17c71dee,LOC-WARE-003,PART001,500,Each,
c534a628-0e80-4cf3-9c29-1d30c41be59e,LOC-WARE-004,PART003-2,280,Each,
8ee219e7-e20f-4595-b174-c9ff91c1b49e,LOC-WARE-003,PROD002,370,Each,
b3d165d3-893d-4692-b2ea-cb2cde97a0f7,LOC-WARE-003,PROD001,480,Each,
9b4646de-163e-4a4b-8fbd-ed1b5b59291e,LOC-WARE-004,PART003,350,Each,
786b2deb-8f14-4ead-abb8-99cbe3c7179e,LOC-WARE-004,PROD009,210,Each,
7449fc12-aa68-403b-aba2-81ce53afc3b0,LOC-WARE-004,PROD008,330,Each,
ffc7f2b4-6351-4de1-ab2b-17ce2ce544d6,LOC-WARE-003,PROD007,350,Each,
ce8425ea-0221-47df-91c1-b2cfa3fab8ce,LOC-WARE-003,PROD006,260,Each,
61fb4afe-06d1-4190-9629-bd87130c87d2,LOC-WARE-004,PROD004,300,Each,
efc8f145-fec8-4b56-acf6-73fbc3ccf41a,LOC-WARE-003,PART001,70,Each,
25f3063d-3a28-4085-9109-1e3484d717ac,LOC-WARE-004,PART005,260,Each,
aaef6106-098d-4dd2-a5fd-64fe1b2b61d8,LOC-WARE-003,PROD006,370,Each,
9fd65c2a-4775-4fa1-895d-5d882071736c,LOC-WARE-004,PROD009,340,Each,
3e697b77-f0bf-4a2d-9763-40bcf35448eb,LOC-WARE-004,PROD005,100,Each,
666776f4-cf0f-4aaf-8961-386756abb80d,LOC-WARE-003,PROD009,350,Each,
0acdd50e-69c2-4831-a646-a3c529fa5411,LOC-WARE-003,PART001,160,Each,
ad52143c-060a-411f-afce-8fb7dbad22a8,LOC-WARE-003,PART003-1,110,Each,
b9967848-9462-4b02-876e-c10e04da7ab8,LOC-WARE-003,PROD002,400,Each,
5f913930-6fe8-42e6-8f5a-83fae66f76fa,LOC-WARE-004,PART003-3,90,Each,
434a0ddb-56a1-4596-9505-de2d4e25a6bf,LOC-WARE-003,PART006,70,Each,
e8ef95cf-defa-4965-9fd3-53ae19c45ecf,LOC-WARE-004,PART005,250,Each,
43593651-86f9-4152-8e3e-b2ed65887eb3,LOC-WARE-004,PROD002,110,Each,
a0b73259-ab1d-4415-93a9-e2725ca6fecf,LOC-WARE-003,PROD002,210,Each,
8df65131-7069-4245-8860-1ff42a0d5676,LOC-WARE-003,PROD002,360,Each,
093f66d2-7cfa-4d63-a660-b2a905403d71,LOC-WARE-003,PART003,70,Each,
fb7e6859-e9f0-42e0-89ed-ca025eccc397,LOC-WARE-003,PROD005,100,Each,
6c06d7b9-7622-4c04-b820-533788dcb832,LOC-WARE-004,PROD007,50,Each,
a3fb9577-7cfe-4ae3-b6f3-19ae1384e8f2,LOC-WARE-004,PART005,420,Each,
353f664e-fe9a-4f0c-b50d-0d5f5cbe5367,LOC-WARE-003,PART003-2,150,Each,
c4c96985-e8b4-472f-9bb0-71d99d969945,LOC-WARE-004,PROD004,190,Each,
b1b64274-60f4-4a70-b88e-c78fae6204aa,LOC-WARE-003,PROD001,60,Each,
b8f4c772-aff3-4a52-8289-9f28f6c2ec54,LOC-WARE-003,PROD007,390,Each,
5ef02e2c-3e02-475b-b825-b8e57dbbeab7,LOC-WARE-003,PART002,290,Each,
6d0966bc-1a7a-4d69-b0d8-7bd6a9b09f3c,LOC-WARE-004,PART002,110,Each,
1b00a47c-dad2-4979-ad53-072e36cc156a,LOC-WARE-004,PROD005,300,Each,
a93b743b-9e0a-4b7f-bcea-0d1b6953955b,LOC-WARE-004,PROD008,420,Each,
d63dadf3-e4a2-468e-aa4c-df9f9fddb449,LOC-WARE-003,PART003,460,Each,
57e12f82-1791-49df-952c-0fdce40cfe72,LOC-WARE-003,PROD008,130,Each,
cd8eeea5-dff9-4e1d-a60f-143204b28280,LOC-WARE-003,PART003-1,410,Each,
9540c6a5-fb3d-45a8-8591-addafabad0ad,LOC-WARE-004,PROD004,460,Each,
d17dc0fe-f45c-4924-aac5-ac10aed4a4d7,LOC-WARE-003,PART003-3,190,Each,
11f97b55-4cd1-4acb-a7a3-79b368bc67fe,LOC-WARE-003,PART002,440,Each,
8b3bf64c-bbd0-4bff-a690-114714177792,LOC-WARE-004,PART003,50,Each,
b6013856-b144-4673-8b62-8dcb9cc907e6,LOC-WARE-004,PART004,350,Each,
49c10d09-f429-44f6-913b-75ece9a57b2a,LOC-WARE-003,PROD002,490,Each,
1fbc29fd-67a1-410b-8f54-2af834301612,LOC-WARE-003,PART002,180,Each,
