ID,Name,Type,productBrand,productCategory,productFamily
PROD001,iPhone 13,Product,Apple,Consumer electronics,iPhone
PROD002,iPhone 13 Pro,Product,Apple,Consumer electronics,iPhone
PROD003,iPhone 13 Pro Max,Product,Apple,Consumer electronics,iPhone
PROD004,iPad mini,Product,Apple,Consumer electronics,iPad
PROD005,iPad,Product,Apple,Consumer electronics,iPad
PROD006,iPad Pro,Product,Apple,Consumer electronics,Apple Watch
PROD007,Apple Watch Series 3,Product,Apple,Consumer electronics,Apple Watch
PROD008,Apple Watch SE,Product,Apple,Consumer electronics,Apple Watch
PROD009,Apple Watch Series 6,Product,Apple,Consumer electronics,Apple Watch
PART001,Apple A9 CPU,Part,,CPU,
PART002,iPhone 13 Battery,Part,,Battery,
PART003,iPhone memory chip,Part,,Memory chip,
PART003-1,iPhone memory 128G,Part,,Memory chip,
PART003-2,iPhone memory 256G,Part,,Memory chip,
PART003-3,iPhone memory 512G,Part,,Memory chip,
PART004,6.1 inch touch screen,Part,,Touch screen,
PART005,5.4 inch touch screen,Part,,Touch screen,
PART006,6.7 inch touch screen,Part,,Touch screen,
