ID,purchaseOrderId,lineNumber,ProductId,Quantity,unitOfMeasure,Status,Value,valueCurrency
6d0d2d27-9bbc-49f9-8379-a4e7560edc84-10,6d0d2d27-9bbc-49f9-8379-a4e7560edc84,10,PART002,390,Each,Active,29250,USD
6d0d2d27-9bbc-49f9-8379-a4e7560edc84-20,6d0d2d27-9bbc-49f9-8379-a4e7560edc84,20,PART003-1,140,Each,Active,14000,USD
714e8989-508b-46dc-991b-beeec153d7b3-10,714e8989-508b-46dc-991b-beeec153d7b3,10,PART001,380,Each,Active,85500,USD
c02d0831-d7b5-470b-971b-b7e8b27307d9-10,c02d0831-d7b5-470b-971b-b7e8b27307d9,10,PART003-2,290,Each,Active,43500,USD
c02d0831-d7b5-470b-971b-b7e8b27307d9-20,c02d0831-d7b5-470b-971b-b7e8b27307d9,20,PART003-3,350,Each,Active,70000,USD
be99a9cb-e32a-4387-a0c2-419550309fe0-10,be99a9cb-e32a-4387-a0c2-419550309fe0,10,PART004,440,Each,Active,77000,USD
be99a9cb-e32a-4387-a0c2-419550309fe0-20,be99a9cb-e32a-4387-a0c2-419550309fe0,20,PART002,490,Each,Active,36750,USD
1f1cade1-2637-43ae-98f0-85d1525e86cd-10,1f1cade1-2637-43ae-98f0-85d1525e86cd,10,PART003-3,100,Each,Active,20000,USD
1f1cade1-2637-43ae-98f0-85d1525e86cd-20,1f1cade1-2637-43ae-98f0-85d1525e86cd,20,PART002,270,Each,Active,20250,USD
1f1cade1-2637-43ae-98f0-85d1525e86cd-30,1f1cade1-2637-43ae-98f0-85d1525e86cd,30,PART003,270,Each,Active,40500,USD
6a850132-086f-48ec-b108-79e75035d2a7-10,6a850132-086f-48ec-b108-79e75035d2a7,10,PART003-3,90,Each,Active,18000,USD
6a850132-086f-48ec-b108-79e75035d2a7-20,6a850132-086f-48ec-b108-79e75035d2a7,20,PART005,310,Each,Active,46500,USD
d354bf42-38f3-4238-be6f-9b2f815b8111-10,d354bf42-38f3-4238-be6f-9b2f815b8111,10,PART003-2,80,Each,Active,12000,USD
d354bf42-38f3-4238-be6f-9b2f815b8111-20,d354bf42-38f3-4238-be6f-9b2f815b8111,20,PART005,70,Each,Active,10500,USD
6d68189a-00ad-4aa2-961f-429de38f325e-10,6d68189a-00ad-4aa2-961f-429de38f325e,10,PART001,90,Each,Active,20250,USD
4133fed2-a2e7-4ed5-a017-c63b2aea3493-10,4133fed2-a2e7-4ed5-a017-c63b2aea3493,10,PART003-3,380,Each,Active,76000,USD
758fbd1e-3ed5-4bc3-8ff7-e426729a705a-10,758fbd1e-3ed5-4bc3-8ff7-e426729a705a,10,PART003-2,250,Each,Active,37500,USD
79121e21-4072-43b6-a357-d16d512d1089-10,79121e21-4072-43b6-a357-d16d512d1089,10,PART006,180,Each,Active,36000,USD
79121e21-4072-43b6-a357-d16d512d1089-20,79121e21-4072-43b6-a357-d16d512d1089,20,PART003-2,290,Each,Active,43500,USD
79121e21-4072-43b6-a357-d16d512d1089-30,79121e21-4072-43b6-a357-d16d512d1089,30,PART003-1,180,Each,Active,18000,USD
a2f26611-28ed-42bd-b189-87553b3a7975-10,a2f26611-28ed-42bd-b189-87553b3a7975,10,PART003,480,Each,Active,72000,USD
a2f26611-28ed-42bd-b189-87553b3a7975-20,a2f26611-28ed-42bd-b189-87553b3a7975,20,PART002,400,Each,Active,30000,USD
a2f26611-28ed-42bd-b189-87553b3a7975-30,a2f26611-28ed-42bd-b189-87553b3a7975,30,PART003-1,420,Each,Active,42000,USD
2bfedf9a-6e29-4824-91c5-f5f1bdd1b00e-10,2bfedf9a-6e29-4824-91c5-f5f1bdd1b00e,10,PART003,230,Each,Active,34500,USD
b60dece9-94ab-4069-b753-96ca464321b3-10,b60dece9-94ab-4069-b753-96ca464321b3,10,PART003-2,480,Each,Active,72000,USD
b60dece9-94ab-4069-b753-96ca464321b3-20,b60dece9-94ab-4069-b753-96ca464321b3,20,PART004,170,Each,Active,29750,USD
b60dece9-94ab-4069-b753-96ca464321b3-30,b60dece9-94ab-4069-b753-96ca464321b3,30,PART005,310,Each,Active,46500,USD
9a7abe49-ea44-40c1-9eee-881c8db63b79-10,9a7abe49-ea44-40c1-9eee-881c8db63b79,10,PART003,370,Each,Active,55500,USD
9a7abe49-ea44-40c1-9eee-881c8db63b79-20,9a7abe49-ea44-40c1-9eee-881c8db63b79,20,PART005,190,Each,Active,28500,USD
9a7abe49-ea44-40c1-9eee-881c8db63b79-30,9a7abe49-ea44-40c1-9eee-881c8db63b79,30,PART006,430,Each,Active,86000,USD
ffa139ac-951f-47a3-abfe-d66cbb8c422c-10,ffa139ac-951f-47a3-abfe-d66cbb8c422c,10,PART004,190,Each,Active,33250,USD
ffa139ac-951f-47a3-abfe-d66cbb8c422c-20,ffa139ac-951f-47a3-abfe-d66cbb8c422c,20,PART003-2,290,Each,Active,43500,USD
78d75105-d901-4be2-8bae-55e5105e046c-10,78d75105-d901-4be2-8bae-55e5105e046c,10,PART005,50,Each,Active,7500,USD
49899404-f8c4-4dfe-bd92-f03e956129d2-10,49899404-f8c4-4dfe-bd92-f03e956129d2,10,PART003-1,430,Each,Active,43000,USD
49899404-f8c4-4dfe-bd92-f03e956129d2-20,49899404-f8c4-4dfe-bd92-f03e956129d2,20,PART003,70,Each,Active,10500,USD
4fa1cb92-0fac-443b-9ca5-19df47f1ccd6-10,4fa1cb92-0fac-443b-9ca5-19df47f1ccd6,10,PART002,140,Each,Active,10500,USD
4fa1cb92-0fac-443b-9ca5-19df47f1ccd6-20,4fa1cb92-0fac-443b-9ca5-19df47f1ccd6,20,PART003-3,490,Each,Active,98000,USD
4fa1cb92-0fac-443b-9ca5-19df47f1ccd6-30,4fa1cb92-0fac-443b-9ca5-19df47f1ccd6,30,PART003-1,100,Each,Active,10000,USD
0915777c-21a3-47fc-8739-63c31d7740b5-10,0915777c-21a3-47fc-8739-63c31d7740b5,10,PART003,470,Each,Active,70500,USD
0915777c-21a3-47fc-8739-63c31d7740b5-20,0915777c-21a3-47fc-8739-63c31d7740b5,20,PART006,70,Each,Active,14000,USD
3e021fb2-4770-49d5-86cb-d583574d8467-10,3e021fb2-4770-49d5-86cb-d583574d8467,10,PART003-2,80,Each,Active,12000,USD
2a5befb2-c551-447e-b40e-45d04bd5c691-10,2a5befb2-c551-447e-b40e-45d04bd5c691,10,PART005,500,Each,Active,75000,USD
7e005e14-cd1f-4a25-8f90-a62c8ead0b90-10,7e005e14-cd1f-4a25-8f90-a62c8ead0b90,10,PART003-3,360,Each,Active,72000,USD
7e005e14-cd1f-4a25-8f90-a62c8ead0b90-20,7e005e14-cd1f-4a25-8f90-a62c8ead0b90,20,PART001,150,Each,Active,33750,USD
e41be754-31f5-404a-a6ea-71791c6e1751-10,e41be754-31f5-404a-a6ea-71791c6e1751,10,PART003-1,330,Each,Active,33000,USD
e41be754-31f5-404a-a6ea-71791c6e1751-20,e41be754-31f5-404a-a6ea-71791c6e1751,20,PART003-2,260,Each,Active,39000,USD
e41be754-31f5-404a-a6ea-71791c6e1751-30,e41be754-31f5-404a-a6ea-71791c6e1751,30,PART001,220,Each,Active,49500,USD
5f4993df-d387-472c-a773-4211a96e0a23-10,5f4993df-d387-472c-a773-4211a96e0a23,10,PART005,80,Each,Active,12000,USD
5f4993df-d387-472c-a773-4211a96e0a23-20,5f4993df-d387-472c-a773-4211a96e0a23,20,PART003-3,210,Each,Active,42000,USD
5f4993df-d387-472c-a773-4211a96e0a23-30,5f4993df-d387-472c-a773-4211a96e0a23,30,PART006,330,Each,Active,66000,USD
e9ab42f1-a93c-4b2b-aaa3-ffe8ddbafcd8-10,e9ab42f1-a93c-4b2b-aaa3-ffe8ddbafcd8,10,PART003-2,200,Each,Active,30000,USD
32bd4781-4e47-43cf-a1d9-ec91de19977f-10,32bd4781-4e47-43cf-a1d9-ec91de19977f,10,PART001,240,Each,Active,54000,USD
f36b595e-34b3-496f-aea8-507be2eeaf17-10,f36b595e-34b3-496f-aea8-507be2eeaf17,10,PART005,180,Each,Active,27000,USD
f36b595e-34b3-496f-aea8-507be2eeaf17-20,f36b595e-34b3-496f-aea8-507be2eeaf17,20,PART003-1,470,Each,Active,47000,USD
fa49671d-c576-4a02-86a9-f959a921e3b5-10,fa49671d-c576-4a02-86a9-f959a921e3b5,10,PART003-3,90,Each,Active,18000,USD
fa49671d-c576-4a02-86a9-f959a921e3b5-20,fa49671d-c576-4a02-86a9-f959a921e3b5,20,PART004,490,Each,Active,85750,USD
eb2d1f3a-06da-4ff3-b31e-ec0eb8488792-10,eb2d1f3a-06da-4ff3-b31e-ec0eb8488792,10,PART005,170,Each,Active,25500,USD
eb2d1f3a-06da-4ff3-b31e-ec0eb8488792-20,eb2d1f3a-06da-4ff3-b31e-ec0eb8488792,20,PART003-1,70,Each,Active,7000,USD
eb2d1f3a-06da-4ff3-b31e-ec0eb8488792-30,eb2d1f3a-06da-4ff3-b31e-ec0eb8488792,30,PART004,430,Each,Active,75250,USD
9886d608-03b6-452d-b2a4-0f0d8d3366ea-10,9886d608-03b6-452d-b2a4-0f0d8d3366ea,10,PART002,380,Each,Active,28500,USD
9886d608-03b6-452d-b2a4-0f0d8d3366ea-20,9886d608-03b6-452d-b2a4-0f0d8d3366ea,20,PART003-3,400,Each,Active,80000,USD
666ab65e-c98e-4f04-8654-d1b1de6aff41-10,666ab65e-c98e-4f04-8654-d1b1de6aff41,10,PART002,470,Each,Active,35250,USD
666ab65e-c98e-4f04-8654-d1b1de6aff41-20,666ab65e-c98e-4f04-8654-d1b1de6aff41,20,PART001,400,Each,Active,90000,USD
666ab65e-c98e-4f04-8654-d1b1de6aff41-30,666ab65e-c98e-4f04-8654-d1b1de6aff41,30,PART005,140,Each,Active,21000,USD
9e727e58-2622-4cef-80b2-d5ecc2d31e81-10,9e727e58-2622-4cef-80b2-d5ecc2d31e81,10,PART003-1,110,Each,Active,11000,USD
9e727e58-2622-4cef-80b2-d5ecc2d31e81-20,9e727e58-2622-4cef-80b2-d5ecc2d31e81,20,PART003,150,Each,Active,22500,USD
4900077c-d3e4-4ff3-ad2a-c41e70fc6598-10,4900077c-d3e4-4ff3-ad2a-c41e70fc6598,10,PART001,470,Each,Active,105750,USD
4900077c-d3e4-4ff3-ad2a-c41e70fc6598-20,4900077c-d3e4-4ff3-ad2a-c41e70fc6598,20,PART004,170,Each,Active,29750,USD
4900077c-d3e4-4ff3-ad2a-c41e70fc6598-30,4900077c-d3e4-4ff3-ad2a-c41e70fc6598,30,PART003-1,140,Each,Active,14000,USD
d21712cd-a53a-487e-bfd2-505ec5a36cf5-10,d21712cd-a53a-487e-bfd2-505ec5a36cf5,10,PART001,470,Each,Active,105750,USD
8804db32-0184-4107-a0c1-2a820b6c4b43-10,8804db32-0184-4107-a0c1-2a820b6c4b43,10,PART006,160,Each,Active,32000,USD
8804db32-0184-4107-a0c1-2a820b6c4b43-20,8804db32-0184-4107-a0c1-2a820b6c4b43,20,PART002,260,Each,Active,19500,USD
0c59b11e-4e7f-4652-8aef-beafe2bebd8b-10,0c59b11e-4e7f-4652-8aef-beafe2bebd8b,10,PART003,50,Each,Active,7500,USD
948437c1-8259-49ad-b8cf-a543b2e2adca-10,948437c1-8259-49ad-b8cf-a543b2e2adca,10,PART003-1,350,Each,Active,35000,USD
2dbd0aa4-18e6-45b9-b752-bf0529689763-10,2dbd0aa4-18e6-45b9-b752-bf0529689763,10,PART003-2,60,Each,Active,9000,USD
2dbd0aa4-18e6-45b9-b752-bf0529689763-20,2dbd0aa4-18e6-45b9-b752-bf0529689763,20,PART003,50,Each,Active,7500,USD
2dbd0aa4-18e6-45b9-b752-bf0529689763-30,2dbd0aa4-18e6-45b9-b752-bf0529689763,30,PART001,400,Each,Active,90000,USD
0fe980e6-d2c2-4890-9292-c27cf2d9452b-10,0fe980e6-d2c2-4890-9292-c27cf2d9452b,10,PART002,260,Each,Active,19500,USD
1381e4a3-9a6e-48a8-9c57-0a253017cd94-10,1381e4a3-9a6e-48a8-9c57-0a253017cd94,10,PART001,310,Each,Active,69750,USD
1381e4a3-9a6e-48a8-9c57-0a253017cd94-20,1381e4a3-9a6e-48a8-9c57-0a253017cd94,20,PART005,460,Each,Active,69000,USD
1381e4a3-9a6e-48a8-9c57-0a253017cd94-30,1381e4a3-9a6e-48a8-9c57-0a253017cd94,30,PART003-1,420,Each,Active,42000,USD
1fde701b-bae9-4c9f-a5e8-11f8b1f71d43-10,1fde701b-bae9-4c9f-a5e8-11f8b1f71d43,10,PART006,120,Each,Active,24000,USD
1fde701b-bae9-4c9f-a5e8-11f8b1f71d43-20,1fde701b-bae9-4c9f-a5e8-11f8b1f71d43,20,PART004,300,Each,Active,52500,USD
6bfbaa70-d5ba-4a9a-be1c-9eb75f119e91-10,6bfbaa70-d5ba-4a9a-be1c-9eb75f119e91,10,PART004,270,Each,Active,47250,USD
6bfbaa70-d5ba-4a9a-be1c-9eb75f119e91-20,6bfbaa70-d5ba-4a9a-be1c-9eb75f119e91,20,PART005,200,Each,Active,30000,USD
f21da985-cd03-432a-b570-8bfa1f2120d1-10,f21da985-cd03-432a-b570-8bfa1f2120d1,10,PART003,150,Each,Active,22500,USD
f21da985-cd03-432a-b570-8bfa1f2120d1-20,f21da985-cd03-432a-b570-8bfa1f2120d1,20,PART001,390,Each,Active,87750,USD
f21da985-cd03-432a-b570-8bfa1f2120d1-30,f21da985-cd03-432a-b570-8bfa1f2120d1,30,PART005,220,Each,Active,33000,USD
20a03f25-1670-437d-9685-8fe4d3b39976-10,20a03f25-1670-437d-9685-8fe4d3b39976,10,PART003-1,420,Each,Active,42000,USD
20a03f25-1670-437d-9685-8fe4d3b39976-20,20a03f25-1670-437d-9685-8fe4d3b39976,20,PART005,360,Each,Active,54000,USD
20a03f25-1670-437d-9685-8fe4d3b39976-30,20a03f25-1670-437d-9685-8fe4d3b39976,30,PART002,400,Each,Active,30000,USD
5b57df2e-6e66-465a-829c-ece45932fa8d-10,5b57df2e-6e66-465a-829c-ece45932fa8d,10,PART003,210,Each,Active,31500,USD
5b57df2e-6e66-465a-829c-ece45932fa8d-20,5b57df2e-6e66-465a-829c-ece45932fa8d,20,PART002,500,Each,Active,37500,USD
5b57df2e-6e66-465a-829c-ece45932fa8d-30,5b57df2e-6e66-465a-829c-ece45932fa8d,30,PART003-2,200,Each,Active,30000,USD
1ad1302a-1a3c-49f7-b9c7-03f75042e87a-10,1ad1302a-1a3c-49f7-b9c7-03f75042e87a,10,PART003-1,140,Each,Active,14000,USD
760752c8-3be3-49e3-824e-2a95916856ff-10,760752c8-3be3-49e3-824e-2a95916856ff,10,PART001,200,Each,Active,45000,USD
d4e669c0-c3e3-4a0a-9425-68eb853027e0-10,d4e669c0-c3e3-4a0a-9425-68eb853027e0,10,PART003,450,Each,Active,67500,USD
d4e669c0-c3e3-4a0a-9425-68eb853027e0-20,d4e669c0-c3e3-4a0a-9425-68eb853027e0,20,PART003-3,210,Each,Active,42000,USD
fe65b391-8f3e-4d74-b3f0-5bcadfe9eb7b-10,fe65b391-8f3e-4d74-b3f0-5bcadfe9eb7b,10,PART006,340,Each,Active,68000,USD
024593c7-1d20-43ae-a216-f479a8f277df-10,024593c7-1d20-43ae-a216-f479a8f277df,10,PART003-2,490,Each,Active,73500,USD
be6237bc-9902-40b3-abb6-43f9cf5264db-10,be6237bc-9902-40b3-abb6-43f9cf5264db,10,PART003,50,Each,Active,7500,USD
be6237bc-9902-40b3-abb6-43f9cf5264db-20,be6237bc-9902-40b3-abb6-43f9cf5264db,20,PART001,390,Each,Active,87750,USD
d242b67c-bb29-42ed-ac33-1583c19b168b-10,d242b67c-bb29-42ed-ac33-1583c19b168b,10,PART002,80,Each,Active,6000,USD
933f2219-7fb7-4f63-bf19-f620e7f9a475-10,933f2219-7fb7-4f63-bf19-f620e7f9a475,10,PART001,50,Each,Active,11250,USD
933f2219-7fb7-4f63-bf19-f620e7f9a475-20,933f2219-7fb7-4f63-bf19-f620e7f9a475,20,PART003-1,410,Each,Active,41000,USD
f8c0f6ca-c675-48ea-9e2d-973382835ccc-10,f8c0f6ca-c675-48ea-9e2d-973382835ccc,10,PART001,120,Each,Active,27000,USD
ffbec458-864e-4ce0-a630-7564c42403ef-10,ffbec458-864e-4ce0-a630-7564c42403ef,10,PART003-1,470,Each,Active,47000,USD
41efa7bb-7424-4d4e-b167-d8c07822cf7f-10,41efa7bb-7424-4d4e-b167-d8c07822cf7f,10,PART003-2,410,Each,Active,61500,USD
db8fc463-7fd9-4fcd-8263-68364c7703a3-10,db8fc463-7fd9-4fcd-8263-68364c7703a3,10,PART004,320,Each,Active,56000,USD
d17917ff-6b38-40ae-aad3-e5e872f1e1a1-10,d17917ff-6b38-40ae-aad3-e5e872f1e1a1,10,PART003-3,440,Each,Active,88000,USD
d17917ff-6b38-40ae-aad3-e5e872f1e1a1-20,d17917ff-6b38-40ae-aad3-e5e872f1e1a1,20,PART003-1,400,Each,Active,40000,USD
d17917ff-6b38-40ae-aad3-e5e872f1e1a1-30,d17917ff-6b38-40ae-aad3-e5e872f1e1a1,30,PART003-2,130,Each,Active,19500,USD
c17d03ee-cb75-4653-9255-eb9125e9af7c-10,c17d03ee-cb75-4653-9255-eb9125e9af7c,10,PART003-1,470,Each,Active,47000,USD
c17d03ee-cb75-4653-9255-eb9125e9af7c-20,c17d03ee-cb75-4653-9255-eb9125e9af7c,20,PART006,300,Each,Active,60000,USD
c17d03ee-cb75-4653-9255-eb9125e9af7c-30,c17d03ee-cb75-4653-9255-eb9125e9af7c,30,PART002,330,Each,Active,24750,USD
e8b43710-d5fb-4566-bcdf-1eda792623ca-10,e8b43710-d5fb-4566-bcdf-1eda792623ca,10,PART003-1,350,Each,Active,35000,USD
c2597ac3-180a-4623-94de-613ffee6d949-10,c2597ac3-180a-4623-94de-613ffee6d949,10,PART001,420,Each,Active,94500,USD
5f5efc5d-673f-470c-9734-5030831ebeb6-10,5f5efc5d-673f-470c-9734-5030831ebeb6,10,PART003-2,440,Each,Active,66000,USD
6581e336-a875-4fec-9f1f-74ed6ced2c7d-10,6581e336-a875-4fec-9f1f-74ed6ced2c7d,10,PART004,400,Each,Active,70000,USD
9a73a2d0-262b-4028-9694-eb06c7ba9492-10,9a73a2d0-262b-4028-9694-eb06c7ba9492,10,PART001,140,Each,Active,31500,USD
9a73a2d0-262b-4028-9694-eb06c7ba9492-20,9a73a2d0-262b-4028-9694-eb06c7ba9492,20,PART004,450,Each,Active,78750,USD
11018313-a907-41bd-8f41-93599d32b93a-10,11018313-a907-41bd-8f41-93599d32b93a,10,PART003-3,500,Each,Active,100000,USD
f5da8a63-ee6d-480e-9541-a993802d34a1-10,f5da8a63-ee6d-480e-9541-a993802d34a1,10,PART003-1,110,Each,Active,11000,USD
f5da8a63-ee6d-480e-9541-a993802d34a1-20,f5da8a63-ee6d-480e-9541-a993802d34a1,20,PART001,390,Each,Active,87750,USD
a3cb065c-13d1-459e-8536-ea4535f1c072-10,a3cb065c-13d1-459e-8536-ea4535f1c072,10,PART002,120,Each,Active,9000,USD
a3cb065c-13d1-459e-8536-ea4535f1c072-20,a3cb065c-13d1-459e-8536-ea4535f1c072,20,PART003-1,220,Each,Active,22000,USD
bb2dbe01-5b86-4784-8edd-8b6d8abe9d34-10,bb2dbe01-5b86-4784-8edd-8b6d8abe9d34,10,PART003-1,400,Each,Active,40000,USD
bb2dbe01-5b86-4784-8edd-8b6d8abe9d34-20,bb2dbe01-5b86-4784-8edd-8b6d8abe9d34,20,PART004,340,Each,Active,59500,USD
bb2dbe01-5b86-4784-8edd-8b6d8abe9d34-30,bb2dbe01-5b86-4784-8edd-8b6d8abe9d34,30,PART003,330,Each,Active,49500,USD
b35d2bea-b6a0-439b-be18-2dc352240527-10,b35d2bea-b6a0-439b-be18-2dc352240527,10,PART002,180,Each,Active,13500,USD
d498671a-799e-4cb0-b6a2-a8f91ddbb2df-10,d498671a-799e-4cb0-b6a2-a8f91ddbb2df,10,PART002,490,Each,Active,36750,USD
e8ec0164-10dd-4789-a7f0-648691597f97-10,e8ec0164-10dd-4789-a7f0-648691597f97,10,PART004,380,Each,Active,66500,USD
e8ec0164-10dd-4789-a7f0-648691597f97-20,e8ec0164-10dd-4789-a7f0-648691597f97,20,PART005,480,Each,Active,72000,USD
e8ec0164-10dd-4789-a7f0-648691597f97-30,e8ec0164-10dd-4789-a7f0-648691597f97,30,PART003-1,380,Each,Active,38000,USD
e0ac8da9-2b9d-448d-a348-616843a8a497-10,e0ac8da9-2b9d-448d-a348-616843a8a497,10,PART001,490,Each,Active,110250,USD
24af096a-cb7f-4e46-9b58-b3446b88d9f5-10,24af096a-cb7f-4e46-9b58-b3446b88d9f5,10,PART003-2,150,Each,Active,22500,USD
24af096a-cb7f-4e46-9b58-b3446b88d9f5-20,24af096a-cb7f-4e46-9b58-b3446b88d9f5,20,PART001,180,Each,Active,40500,USD
ae03a6d2-44e3-469e-b066-40e0027c9d66-10,ae03a6d2-44e3-469e-b066-40e0027c9d66,10,PART003,90,Each,Active,13500,USD
ae03a6d2-44e3-469e-b066-40e0027c9d66-20,ae03a6d2-44e3-469e-b066-40e0027c9d66,20,PART005,100,Each,Active,15000,USD
2e3e1cc3-61e4-48be-8cb7-90f7c28ff799-10,2e3e1cc3-61e4-48be-8cb7-90f7c28ff799,10,PART003,140,Each,Active,21000,USD
2e3e1cc3-61e4-48be-8cb7-90f7c28ff799-20,2e3e1cc3-61e4-48be-8cb7-90f7c28ff799,20,PART001,290,Each,Active,65250,USD
7d175894-da56-4314-9950-9b9b3fb423f7-10,7d175894-da56-4314-9950-9b9b3fb423f7,10,PART006,260,Each,Active,52000,USD
7d175894-da56-4314-9950-9b9b3fb423f7-20,7d175894-da56-4314-9950-9b9b3fb423f7,20,PART001,460,Each,Active,103500,USD
7d175894-da56-4314-9950-9b9b3fb423f7-30,7d175894-da56-4314-9950-9b9b3fb423f7,30,PART003-2,270,Each,Active,40500,USD
b09296b0-8544-48c5-8515-730504840db5-10,b09296b0-8544-48c5-8515-730504840db5,10,PART005,140,Each,Active,21000,USD
b09296b0-8544-48c5-8515-730504840db5-20,b09296b0-8544-48c5-8515-730504840db5,20,PART006,450,Each,Active,90000,USD
b09296b0-8544-48c5-8515-730504840db5-30,b09296b0-8544-48c5-8515-730504840db5,30,PART002,350,Each,Active,26250,USD
adf4354a-210f-461e-bf47-fe50f088b269-10,adf4354a-210f-461e-bf47-fe50f088b269,10,PART002,50,Each,Active,3750,USD
adf4354a-210f-461e-bf47-fe50f088b269-20,adf4354a-210f-461e-bf47-fe50f088b269,20,PART003-1,60,Each,Active,6000,USD
adf4354a-210f-461e-bf47-fe50f088b269-30,adf4354a-210f-461e-bf47-fe50f088b269,30,PART001,220,Each,Active,49500,USD
45c0d571-fb69-4e18-92de-a71c6d92dda2-10,45c0d571-fb69-4e18-92de-a71c6d92dda2,10,PART001,230,Each,Active,51750,USD
