ID,salesOrderId,lineNumber,ProductId,Quantity,unitOfMeasure,Status,Value,valueCurrency
40be3a38-6705-45be-a4b3-3d49727c319c-10,40be3a38-6705-45be-a4b3-3d49727c319c,10,PROD005,150,Each,Active,90000,USD
40be3a38-6705-45be-a4b3-3d49727c319c-20,40be3a38-6705-45be-a4b3-3d49727c319c,20,PROD008,70,Each,Active,28000,USD
37b7ec37-11c6-4d74-88d2-af5713aa00a3-10,37b7ec37-11c6-4d74-88d2-af5713aa00a3,10,PROD002,80,Each,Active,80000,USD
37b7ec37-11c6-4d74-88d2-af5713aa00a3-20,37b7ec37-11c6-4d74-88d2-af5713aa00a3,20,PROD004,50,Each,Active,20000,USD
37b7ec37-11c6-4d74-88d2-af5713aa00a3-30,37b7ec37-11c6-4d74-88d2-af5713aa00a3,30,PROD003,190,Each,Active,228000,USD
95715d33-8794-4940-81a2-7db5e61dd107-10,95715d33-8794-4940-81a2-7db5e61dd107,10,PROD002,70,Each,Active,70000,USD
95715d33-8794-4940-81a2-7db5e61dd107-20,95715d33-8794-4940-81a2-7db5e61dd107,20,PROD008,170,Each,Active,68000,USD
2ea858e5-37be-4217-bb59-8cbbc0db4b95-10,2ea858e5-37be-4217-bb59-8cbbc0db4b95,10,PROD007,130,Each,Active,39000,USD
2ea858e5-37be-4217-bb59-8cbbc0db4b95-20,2ea858e5-37be-4217-bb59-8cbbc0db4b95,20,PROD008,430,Each,Active,172000,USD
3f465311-7d61-4321-8e94-cffaa76b9566-10,3f465311-7d61-4321-8e94-cffaa76b9566,10,PROD005,170,Each,Active,102000,USD
3f465311-7d61-4321-8e94-cffaa76b9566-20,3f465311-7d61-4321-8e94-cffaa76b9566,20,PROD004,190,Each,Active,76000,USD
8bddcbcb-e8df-46a6-bf52-74a68aa87f5f-10,8bddcbcb-e8df-46a6-bf52-74a68aa87f5f,10,PROD005,130,Each,Active,78000,USD
8bddcbcb-e8df-46a6-bf52-74a68aa87f5f-20,8bddcbcb-e8df-46a6-bf52-74a68aa87f5f,20,PROD002,410,Each,Active,410000,USD
130f00b9-4af8-4659-a1e4-33872d5abcbc-10,130f00b9-4af8-4659-a1e4-33872d5abcbc,10,PROD001,120,Each,Active,108000,USD
130f00b9-4af8-4659-a1e4-33872d5abcbc-20,130f00b9-4af8-4659-a1e4-33872d5abcbc,20,PROD005,170,Each,Active,102000,USD
dd0f6a82-09d7-4fd1-8d18-f4a27d43d0e4-10,dd0f6a82-09d7-4fd1-8d18-f4a27d43d0e4,10,PROD009,460,Each,Active,230000,USD
