ID,supplyShipmentId,lineNumber,purchaseOrderLineId,purchaseOrderId,purchaseOrderLineNumber,ProductId,quantityShipped,unitOfMeasure
b1a0e02a-db6b-46ad-97da-a8ebc362050f-10,b1a0e02a-db6b-46ad-97da-a8ebc362050f,10,ffa139ac-951f-47a3-abfe-d66cbb8c422c-10,ffa139ac-951f-47a3-abfe-d66cbb8c422c,10,PART004,190,Each
fb7b64ef-7f8e-4385-b13c-3e625e4fc459-10,fb7b64ef-7f8e-4385-b13c-3e625e4fc459,10,78d75105-d901-4be2-8bae-55e5105e046c-10,78d75105-d901-4be2-8bae-55e5105e046c,10,PART005,33,Each
878b0476-968a-46f8-8be2-a4f8d03e0cdc-10,878b0476-968a-46f8-8be2-a4f8d03e0cdc,10,49899404-f8c4-4dfe-bd92-f03e956129d2-20,49899404-f8c4-4dfe-bd92-f03e956129d2,20,PART003,70,Each
9c49bb01-ff61-4ba6-a18b-fd000da7767a-10,9c49bb01-ff61-4ba6-a18b-fd000da7767a,10,4fa1cb92-0fac-443b-9ca5-19df47f1ccd6-10,4fa1cb92-0fac-443b-9ca5-19df47f1ccd6,10,PART002,140,Each
9c49bb01-ff61-4ba6-a18b-fd000da7767a-20,9c49bb01-ff61-4ba6-a18b-fd000da7767a,20,4fa1cb92-0fac-443b-9ca5-19df47f1ccd6-30,4fa1cb92-0fac-443b-9ca5-19df47f1ccd6,30,PART003-1,100,Each
85932089-f49a-4db7-b85a-c83513c6242a-10,85932089-f49a-4db7-b85a-c83513c6242a,10,0915777c-21a3-47fc-8739-63c31d7740b5-10,0915777c-21a3-47fc-8739-63c31d7740b5,10,PART003,470,Each
299c55bd-5220-40b4-8756-8502c26b874c-10,299c55bd-5220-40b4-8756-8502c26b874c,10,3e021fb2-4770-49d5-86cb-d583574d8467-10,3e021fb2-4770-49d5-86cb-d583574d8467,10,PART003-2,29,Each
8e7cc4a6-5b5a-4a18-b777-3469af117e49-10,8e7cc4a6-5b5a-4a18-b777-3469af117e49,10,2a5befb2-c551-447e-b40e-45d04bd5c691-10,2a5befb2-c551-447e-b40e-45d04bd5c691,10,PART005,390,Each
c5ec59ce-ea51-460b-80bd-614b22ddcfbc-10,c5ec59ce-ea51-460b-80bd-614b22ddcfbc,10,7e005e14-cd1f-4a25-8f90-a62c8ead0b90-10,7e005e14-cd1f-4a25-8f90-a62c8ead0b90,10,PART003-3,360,Each
12bf3518-1985-46a4-9385-f2317f3662c6-10,12bf3518-1985-46a4-9385-f2317f3662c6,10,e41be754-31f5-404a-a6ea-71791c6e1751-10,e41be754-31f5-404a-a6ea-71791c6e1751,10,PART003-1,330,Each
